ANO,MES,MONTHLY_AVG
2010,1,52.68817204301075
2010,2,50.016369047619044
2010,3,45.30738662926601
2010,4,42.81135265700483
2010,5,35.84946236559139
2010,6,47.32123015873016
2010,7,53.50940860215054
2010,8,42.15456989247312
2010,9,63.53392857142857
2010,10,72.75105189340813
2010,11,67.89027777777777
2010,12,74.47983870967742
2011,1,72.65188172043011
2011,2,82.76074016563146
2011,3,54.88077916849656
2011,4,52.61666666666667
2011,5,46.21639784946236
2011,6,50.113888888888894
2011,7,41.37928270887598
2011,8,39.32224713692105
2011,9,58.06801163812033
2011,10,58.729838709677416
2011,11,51.37518115942029
2011,12,54.73521505376344
2012,1,65.38955119214586
2012,2,52.05172413793103
2012,3,46.55896446937822
2012,4,28.306219806763284
2012,5,35.557795698924735
2012,6,28.42361111111111
2012,7,31.85117302052786
2012,8,26.375
2012,9,39.76186868686868
2012,10,57.54301075268817
2012,11,50.791666666666664
2012,12,59.76367461430575
2013,1,52.942204301075265
2013,2,48.09523809523809
2013,3,34.872800586510266
2013,4,36.797222222222224
2013,5,34.9260752688172
2013,6,33.30066425120773
2013,7,38.06276297335203
2013,8,29.18519167835437
2013,9,46.28042929292929
2013,10,48.81989247311828
2013,11,48.90555555555556
2013,12,66.8191912108462
2014,1,45.5
2014,2,40.327380952380956
2014,3,46.67861468825704
2014,4,36.50778985507247
2014,5,34.20698924731183
2014,6,34.59166666666667
2014,7,33.104780271154745
2014,8,25.411290322580644
2014,9,38.44480676328502
2014,10,53.02930107526882
2014,11,47.76521739130435
2014,12,66.81860682561945
2015,1,70.40515959029283
2015,2,39.53920807453416
2015,3,47.636220196353435
2015,4,30.69188808373591
2015,5,32.271213183730715
2015,6,35.173573781291175
2015,7,35.35448807854137
2015,8,24.747662459093032
2015,9,37.92807971014493
2015,10,46.05866058906031
2015,11,65.7486111111111
2015,12,72.98264907135874
2016,1,44.794705469845724
2016,2,39.166666666666664
2016,3,37.667835437120154
2016,4,34.95694444444444
2016,5,32.74193548387097
2016,6,33.722041062801935
2016,7,35.64381720430107
2016,8,28.44243805516597
2016,9,46.3731829161177
2016,10,55.54435483870968
2016,11,54.743115942028986
2016,12,66.56258765778402
2017,1,59.89878447872838
2017,2,45.876488095238095
2017,3,43.69576905095839
2017,4,34.330555555555556
2017,5,33.566285981433246
2017,6,35.71111111111111
2017,7,34.009291725105186
2017,8,26.291666666666664
2017,9,43.55899758454107
2017,10,59.69086021505377
2017,11,73.41243961352657
2017,12,59.981650303880315
2018,1,54.1760752688172
2018,2,54.3965450310559
2018,3,31.832924263674613
2018,4,35.238888888888894
2018,5,36.57766479663395
2018,6,32.31219806763285
2018,7,29.973694316436255
2018,8,28.785998129967275
2018,9,42.29704106280193
2018,10,46.299571805006586
2018,11,42.41805555555556
2018,12,65.14165497896212
2019,1,62.24824684431977
2019,2,59.348990683229815
2019,3,37.99991499851247
2019,4,29.28967391304348
2019,5,25.982526881720432
2019,6,25.46467391304348
2019,7,31.050752086078173
2019,8,25.1541248606466
2019,9,37.050595238095234
2019,10,47.01981065918654
2019,11,29.193055555555553
2019,12,45.89866760168303
2020,1,53.86290322580645
2020,2,48.154110444777615
2020,3,24.1471482000935
2020,4,12.223671497584542
2020,5,13.065026137957414
2020,6,17.35
2020,7,21.94292150112627
2020,8,19.937821411874708
2020,9,29.603074220465526
2020,10,34.00765544647032
2020,11,53.5399154589372
2020,12,35.97675209316163
2021,1,54.034946236559136
2021,2,35.725625823451914
2021,3,34.16318691827107
2021,4,27.623611111111114
2021,5,22.732526881720432
2021,6,23.98598328000502
2021,7,22.9366470492181
2021,8,19.726762718347572
2021,9,29.049167302313755
2021,10,40.512766312696186
2021,11,41.1451690821256
2021,12,41.30689331706162
2022,1,48.53161524076671
2022,2,43.46363048183701
2022,3,30.33654745208041
2022,4,23.018607660455487
2022,5,22.068548387096776
2022,6,20.89760101010101
2022,7,20.990713587487782
2022,8,19.82365758365057
2022,9,22.942272727272726
2022,10,37.01294982483622
2022,11,29.961769872639437
2022,12,38.056067588325654
2023,1,40.42504538472281
2023,2,40.13995684085991
2023,3,26.810099846390166
2023,4,20.626287878787878
2023,5,17.666778231119043
2023,6,21.916968599033815
2023,7,19.60983102918587
2023,8,16.82523162905351
2023,9,32.46419369680239
2023,10,31.789243972483806
2023,11,33.0332729468599
2023,12,50.27959230122993
2024,1,45.98539719980814
2024,2,37.238989796545575
2024,3,22.728312317833986
2024,4,22.103619528619525
2024,5,16.66385048643113
2024,6,15.938131313131313
2024,7,18.115224828934508
2024,8,14.699462365591398
2024,9,18.430699855699856
2024,10,22.540413133216674
2024,11,34.45916666666667
2024,12,42.131349206349206
2025,1,32.09106280193237
2025,2,36.212453007518796
2025,3,21.964318668339853
2025,4,17.43940476190476
2025,5,15.687914913510987
2025,6,17.899780701754384
2025,7,13.670430107526883
2025,8,14.397145417306708
2025,9,18.58347288676236
2025,10,24.637204815557958
2025,11,30.490479822745268
2025,12,33.450000000000000
